RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1971,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
9942,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2748,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2079,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2612,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1587,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2140,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1921,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3149,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2275,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2112,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3615,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2313,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1844,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1907,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2225,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2261,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2256,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1953,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2787,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1928,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2014,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1549,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1341,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2709,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4987,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1768,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3719,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
6180,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4250,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1875,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2786,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3270,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3851,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1873,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2361,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4204,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2621,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3091,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2337,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3332,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3444,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2203,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2245,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1811,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2354,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2551,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2670,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3612,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3010,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2080,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2333,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2277,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2444,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1869,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
5030,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3202,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3035,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4140,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2258,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2128,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3507,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3458,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1752,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2109,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1789,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2878,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2173,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1556,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2793,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1982,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2614,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3752,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2412,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3921,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3608,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
8817,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
5719,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1918,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1712,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2696,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2831,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3079,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3896,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3534,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2426,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1992,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3057,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3290,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3848,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
8708,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
file,isFamiliar,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_M_Peter_Kay.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_Gordon_Brown.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_F_Theresa_May.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_M_Russell_Howard.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_david_camer.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_F_Dawn_Roma_French.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_Michael_Gove.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_F_Julie_Walters.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_Sajid_Javid.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_M_Jimmy_Carr.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_F_Sarah_Millican.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_F_Jennifer_Saunders.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_M_Simon_Pegg.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_nigel_farage.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_jeremy_corbyn.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_Tony_Blair.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_F_nicola_sturge.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_M_Ewan_McGregor.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
E_M_Michael_McIntyr.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
P_M_keir_starmer.png,1,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
age: 30,gender: Female,handedness: right,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"