RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2989,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3516,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2415,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3159,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2585,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2929,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2196,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
4162,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1443,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1971,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1685,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2973,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1757,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1554,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3224,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2408,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1333,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1435,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1784,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1940,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1619,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1609,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3747,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1911,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1760,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1974,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1976,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1903,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1896,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1685,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1606,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1661,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2554,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1827,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1896,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1430,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1552,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1498,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1609,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1974,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
963,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
958,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1363,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1659,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1307,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1206,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1317,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1595,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3054,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1193,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2630,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1545,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1338,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1200,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
5857,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1648,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2524,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1152,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2912,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1069,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
4325,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
6910,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1221,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
17359,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
4863,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1951,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
4534,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
25018,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
4364,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1786,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1003,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2300,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1130,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2232,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1339,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1053,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2443,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
9886,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
973,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
16389,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2103,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1578,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1063,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1103,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1406,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1713,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1588,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
3524,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2178,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2033,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1859,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1062,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1875,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1103,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1265,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2373,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1376,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
2775,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1626,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1503,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1253,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
909,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1066,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1055,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
1103,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5641193817bdbe00122a0f23,"10/13/2022, 14:11:46"
