RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
5595,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4094,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4093,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3088,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4495,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2456,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3215,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4930,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2268,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3132,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1990,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3204,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
5423,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2184,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3578,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2343,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4014,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3024,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4034,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
5428,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
6044,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2332,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2354,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2703,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3937,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4293,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2184,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
6463,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2254,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2760,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2671,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2607,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
5671,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2181,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3414,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1754,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2863,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1692,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2704,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1861,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2126,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2147,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2035,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2375,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
8631,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3541,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2063,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3425,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2023,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3341,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2474,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2165,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1855,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2259,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3178,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4169,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4140,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4438,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2639,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2299,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3192,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2683,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3383,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1948,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2785,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2047,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1663,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2576,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1911,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3753,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3046,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4055,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
8536,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2241,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1867,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2368,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2222,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2270,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1672,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2935,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
3775,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2842,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1934,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2539,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2468,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1749,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2479,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2049,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2802,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1871,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1596,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1718,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2427,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1878,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1838,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2862,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
1951,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2634,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
4066,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
2156,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58061b34c7b1100001138a1e,"10/17/2022, 10:24:06"
