RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1463,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1619,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1333,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1618,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1375,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1386,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1885,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1348,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
3254,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2482,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1771,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1983,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1462,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2285,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1835,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1487,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1567,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1673,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1302,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1844,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1576,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1595,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1650,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1737,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2469,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1683,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1444,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1857,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1606,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1564,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1734,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1740,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1825,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1230,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1589,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1403,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1598,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1327,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1336,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1669,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1524,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1331,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1479,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1474,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1607,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1685,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1473,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
3523,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1589,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1469,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1758,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1595,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1503,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1525,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1266,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1187,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1164,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1331,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1764,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1547,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1579,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
3004,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1637,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1586,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1766,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1618,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1604,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1498,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1462,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1307,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2122,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1325,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1608,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1532,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2619,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2497,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1619,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2491,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2363,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1713,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1840,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1646,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1588,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2196,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1993,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1318,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1764,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1506,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1680,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1621,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2634,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
file,isFamiliar,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Dawn_Roma(22).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_nigel_farage(9).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_F_Theresa_May(16).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Sajid_Javid(12).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Sarah_Millican(22).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Peter_Kay(20).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Michael_Gove(3).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Jennifer_Saunders(21).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_keir_starmer(9).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_jeremy_corbyn(10).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Julie_Walters(15).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_F_nicola_sturge(17).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_david_camer(18).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Simon_Pegg(24).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Russell_Howard(20).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Tony_Blair(12).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Michael_McIntyr(7).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Ewan_McGregor(15).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Jimmy_Carr(12).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Gordon_Brown(14).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
age: 31,gender: Male,handedness: right,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"