RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4079,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4384,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
5732,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4113,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4242,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
6425,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4399,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
5865,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4253,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2123,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2186,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2228,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2532,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4840,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2725,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3734,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2787,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2333,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3558,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3254,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
9517,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2825,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
41074,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2732,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1963,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2650,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2251,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2466,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2998,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3019,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3632,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3145,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
7001,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2310,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1677,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1581,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1579,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2207,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4611,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3411,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4384,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3345,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4086,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4104,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
8149,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3606,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
48510,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3213,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2785,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2113,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
20124,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
7660,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3183,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1764,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4141,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1713,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2009,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3528,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2147,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2591,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2637,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
6124,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2249,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4672,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2149,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
6206,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1856,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4678,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
8944,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3707,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
6457,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3272,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2716,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3748,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3072,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2487,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3349,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3839,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3285,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2694,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4904,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2599,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2849,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2081,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3277,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2192,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1684,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2148,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2326,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2384,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1722,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2072,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3144,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1934,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3337,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
2406,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3191,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
3033,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
4259,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
1860,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3869444a0f0500198dc192,"10/14/2022, 09:20:12"
