RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
9550,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
13236,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6371,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3999,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6538,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3708,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7314,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
12758,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4839,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3981,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7526,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3796,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4529,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3435,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4427,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4378,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3250,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4201,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3686,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2733,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3173,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7146,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4362,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3490,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
10395,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2940,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3290,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
8144,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
14217,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7075,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4258,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2636,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3157,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
15402,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4194,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2083,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2392,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2409,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2669,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2546,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2826,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2722,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2737,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2411,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3890,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3987,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2679,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3320,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4897,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3560,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2844,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3371,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
9502,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2685,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4701,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2823,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2908,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
5242,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3085,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3574,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4262,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2548,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4412,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6734,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3945,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2574,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2272,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6418,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3254,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
5790,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6713,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
5398,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3614,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2918,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2704,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4576,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2730,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
1710,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2342,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2477,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
5411,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2237,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3324,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
1889,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4203,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2789,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4983,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2174,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
9638,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4657,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4087,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6111,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
2724,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
3835,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4431,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4067,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
4460,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
7192,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
6303,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6106c0aecdc0c01341f2bf2d,"10/27/2022, 13:19:03"
