RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
8517,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3141,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3936,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4078,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3746,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3102,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3508,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4043,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3519,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4979,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2416,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3292,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4818,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3905,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2830,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2741,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2510,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2932,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2708,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4203,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4540,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4396,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5958,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6865,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3207,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3838,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3175,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4093,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4892,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3291,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2621,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4863,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2905,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3121,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5061,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
9236,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6363,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5267,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3037,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2661,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4359,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4077,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4445,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
7152,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5560,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
9178,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
11102,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6482,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4161,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5200,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6032,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2521,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3977,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3423,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4295,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2853,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2627,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4695,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3189,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3436,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3477,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2805,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2590,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4471,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2964,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5384,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2739,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3440,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4159,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6186,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3199,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3332,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
7131,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2694,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2725,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2696,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2737,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2555,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4514,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
7537,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2912,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3461,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
7151,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
9374,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
9192,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6636,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2866,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3284,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2954,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4327,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4949,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3331,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4236,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2964,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2596,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6036,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4431,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4903,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3011,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5834,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
