RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5906,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6106,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6934,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
8199,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5534,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5995,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6578,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
7597,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4831,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6553,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
7157,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5953,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4482,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
9739,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
7349,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4755,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6730,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5295,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4830,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3276,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
8463,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
7980,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5294,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3127,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6586,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5577,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5470,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4055,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5666,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3395,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4128,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5093,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6235,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3493,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4417,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
8598,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4430,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5547,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3785,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4567,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3631,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3403,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
7145,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3651,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3306,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4261,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
7485,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4061,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6454,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3094,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3992,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
2808,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4310,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3811,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4697,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3475,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3817,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5573,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3794,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5041,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4450,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
9662,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5017,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5713,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6410,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3678,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6274,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
5769,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4083,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4603,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3894,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4414,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4290,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6280,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3054,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4987,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3160,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6960,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4336,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3497,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3516,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4037,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4318,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6274,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3578,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4806,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6391,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4307,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
6627,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
2805,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
2757,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
2800,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3981,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3331,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4229,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3186,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3821,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
3486,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4121,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
4882,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e1b2dea8b90cb3502480bc9,"05/06/2022, 10:52:10"
