RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2904,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3615,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2167,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2679,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2791,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2527,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1703,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2015,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2191,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3471,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2207,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2111,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2599,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4191,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3367,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3519,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3431,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2375,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2007,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3344,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2639,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3671,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1935,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2103,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2407,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1919,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2375,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2080,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2351,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1807,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2536,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1919,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1920,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1823,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1607,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1831,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2247,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3840,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1935,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1655,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2415,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2135,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3623,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
6920,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3231,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2231,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1671,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1816,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1543,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2047,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2287,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1912,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2639,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4887,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3360,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4879,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2263,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2919,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2479,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4471,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2063,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2991,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1880,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2495,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2136,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2727,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2015,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2447,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1695,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2935,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1808,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1743,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2159,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1639,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1279,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2256,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1783,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1463,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2304,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2055,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2015,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2415,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3871,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3215,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2768,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1688,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2207,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2039,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1887,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4639,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3031,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
file,isFamiliar,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_M_Tony_Blair.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_M_robert_de_niro.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_F_keira_knightley.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_F_tehresy_may.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_F_sandra_bullock.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_F_nicola_sturgeon.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_M_tom_hankes.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_M_bill_clinton.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_F_Kate_Winslet.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_M_boris_johnson.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_F_jennifer_aniston.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_M_Hugh_Grant.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_M_michael_caine.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_F_Judi_Dench.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_M_george_Wbush.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_M_david_cameron.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_F_hillary_clinton.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_F_angelina_jolie.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
E_M_nicolas_cage.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
P_M_donald_trump.jpg,1,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
age: 30,gender: Female,handedness: right,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"