RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2561,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3234,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3528,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1889,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2941,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
4097,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2011,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3074,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
4318,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1644,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2884,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2351,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2100,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1722,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2153,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2387,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2702,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3547,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1759,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1282,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3306,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2748,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1516,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3395,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2646,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3012,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1645,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2216,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1361,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1982,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1910,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1666,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1414,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1179,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1419,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2415,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3559,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
4029,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2079,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1598,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2753,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1344,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2045,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1959,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3739,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3168,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1538,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1986,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1612,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
4146,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1683,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
4254,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2596,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3141,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2091,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1454,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1606,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2335,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2342,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2319,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1733,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1821,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2237,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3678,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1851,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3409,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1732,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1598,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1271,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1758,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1713,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2449,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2261,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3263,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2031,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2353,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1856,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3408,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2160,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1690,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2111,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3719,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1713,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1584,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3508,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1766,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2447,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2131,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1605,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3185,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1793,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2360,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2861,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1960,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
2916,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1745,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1728,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3227,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
3047,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
1951,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a21800f8c1e5c0001715a21800f8c1e5c0001713d893d89,"06/19/2022, 14:38:50"
