RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4544,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
11849,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3674,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3979,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2848,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2196,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
5131,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2080,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2201,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3208,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
5250,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3797,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3470,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2569,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3482,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2630,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2886,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3317,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2168,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3304,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1830,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2552,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3686,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2023,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2435,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2770,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2298,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3817,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
29761,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
19696,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4369,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1959,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3344,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3617,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2460,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3033,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2335,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1992,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2689,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2648,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2476,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4131,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1862,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4088,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2493,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3604,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2784,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2219,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1859,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2042,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3462,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4509,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4903,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3379,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2566,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2254,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2259,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2342,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4511,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2211,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3893,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3408,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2227,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2701,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3193,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3212,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4150,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2527,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2521,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2901,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4330,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2039,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2102,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2375,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2644,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2192,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
6513,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1830,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2604,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2189,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3081,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2920,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1552,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1847,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3388,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3699,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2421,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2715,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
7447,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1664,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3176,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3940,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1765,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2823,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3696,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3029,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1947,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2320,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2457,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
