RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4490,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3338,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3187,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3021,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6805,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4608,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3287,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4873,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5556,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
7837,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
13020,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
8035,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3720,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
9254,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6304,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
10071,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5227,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
13856,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
12300,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
11470,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5491,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5492,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
7205,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6071,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5449,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3705,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
14256,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6939,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
17792,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3274,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5727,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4921,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6323,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6523,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3605,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4188,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2709,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
10454,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5405,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5118,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
12002,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
8770,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4855,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3971,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4072,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6451,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4405,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5137,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4988,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4056,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3551,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3372,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4248,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6620,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5045,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
18437,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4238,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4437,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
12342,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4004,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
13804,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3489,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2567,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2420,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3104,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2434,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2674,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6823,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5620,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
12538,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5869,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
8586,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
30968,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
10554,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5554,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6335,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3054,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
7675,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3303,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2819,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4124,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5014,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
1989,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2955,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2506,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2991,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2761,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
1809,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
12904,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2297,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2422,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4569,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2640,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
6793,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
3619,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2455,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
2155,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4418,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
5081,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
4382,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,609a852efce87dee0b28742f,"08/07/2022, 18:51:22"
